,Start Time,Duration,Error Type,Light
6,2019-07-03 03:27:15.200,280.9,L0P1,Not Green
217,2019-07-03 09:59:49.800,8.8,L0P1,Not Green
282,2019-07-03 10:44:57.600,52.4,L0P1,Not Green
292,2019-07-03 10:56:08.700,19.4,L0P1,Not Green
305,2019-07-03 11:01:44.600,11.8,L0P1,During Green
428,2019-07-03 12:24:08.600,1.2,L0P1,During Green
457,2019-07-03 12:42:21.000,1.1,L0P1,During Green
598,2019-07-03 13:57:45.600,16.8,L0P1,Not Green
660,2019-07-03 14:41:34.200,15.8,L0P1,Not Green
741,2019-07-03 15:19:32.100,5.5,L0P1,Not Green
758,2019-07-03 15:29:03.600,7.8,L0P1,Not Green
794,2019-07-03 15:53:14.000,6.2,L0P1,Not Green
829,2019-07-03 16:11:39.400,1.2,L0P1,During Green
1014,2019-07-03 17:57:50.000,13.8,L0P1,Not Green
1032,2019-07-03 18:11:45.000,6.2,L0P1,Not Green
1078,2019-07-03 18:43:19.000,8.2,L0P1,Not Green
1257,2019-07-03 22:48:29.700,1.1,L0P1,During Green
