,Start Time,Duration,Error Type,Light
7,2019-07-03 00:11:11.400,1.7,L0P1,During Green
17,2019-07-03 00:39:06.600,2.0,L0P1,During Green
53,2019-07-03 03:00:23.000,16.9,L0P1,Not Green
189,2019-07-03 05:47:55.600,1.2,L0P1,During Green
212,2019-07-03 05:54:26.600,1.7,L0P1,During Green
238,2019-07-03 06:04:01.200,23.0,L0P1,Not Green
240,2019-07-03 06:04:41.400,31.4,L0P1,Not Green
325,2019-07-03 06:32:26.100,23.8,L0P1,Not Green
373,2019-07-03 06:44:34.100,49.9,L0P1,Not Green
754,2019-07-03 08:08:56.100,28.8,L0P1,Not Green
785,2019-07-03 08:18:23.000,9.6,L0P1,During Green
1087,2019-07-03 10:04:51.600,14.8,L0P1,Not Green
1512,2019-07-03 12:43:12.600,5.9,L0P1,Not Green
1582,2019-07-03 13:07:33.900,64.5,L0P1,Not Green
1624,2019-07-03 13:24:15.900,64.7,L0P1,During Green
1628,2019-07-03 13:26:01.900,64.6,L0P1,During Green
1780,2019-07-03 14:20:40.400,65.2,L0P1,During Green
1886,2019-07-03 14:58:46.200,86.3,L0P1,Not Green
2070,2019-07-03 16:08:52.800,75.3,L0P1,Not Green
2202,2019-07-03 17:06:47.500,65.3,L0P1,Not Green
2381,2019-07-03 18:11:59.400,1.1,L0P1,During Green
2408,2019-07-03 18:24:21.000,59.5,L0P1,Not Green
2417,2019-07-03 18:29:20.700,1.4,L0P1,During Green
2437,2019-07-03 18:33:38.300,36.5,L0P1,During Green
2463,2019-07-03 18:43:08.000,29.4,L0P1,During Green
2531,2019-07-03 19:13:26.500,44.4,L0P1,Not Green
2534,2019-07-03 19:14:22.000,37.8,L0P1,During Green
2554,2019-07-03 19:22:16.800,54.1,L0P1,Not Green
2683,2019-07-03 20:35:13.000,1.1,L0P1,During Green
2698,2019-07-03 20:43:58.000,1.7,L0P1,During Green
2699,2019-07-03 20:45:29.000,1.4,L0P1,During Green
2784,2019-07-03 21:56:46.700,12.2,L0P1,Not Green
2836,2019-07-03 22:56:06.400,4.9,L0P1,During Green
2886,2019-07-03 23:53:50.000,11.2,L0P1,Not Green
