,Start Time,Duration,Error Type
107,2019-06-12 05:27:35.600,0.3,L0P1
108,2019-06-12 05:29:38.000,0.1,L1P0
109,2019-06-12 05:29:49.700,0.3,L0P1
110,2019-06-12 05:30:31.000,0.1,L0P1
111,2019-06-12 05:30:41.200,0.2,L0P1
112,2019-06-12 05:32:14.300,0.1,L1P0
113,2019-06-12 05:32:16.200,0.2,L0P1
114,2019-06-12 05:32:48.300,0.2,L0P1
115,2019-06-12 05:34:27.700,0.2,L0P1
116,2019-06-12 05:35:34.000,0.2,L0P1
117,2019-06-12 05:36:25.600,0.1,L0P1
118,2019-06-12 05:37:00.300,0.1,L0P1
119,2019-06-12 05:37:14.200,0.1,L1P0
120,2019-06-12 05:37:16.700,0.3,L0P1
121,2019-06-12 05:39:10.800,0.9,L0P1
122,2019-06-12 05:39:31.900,0.5,L0P1
123,2019-06-12 05:42:02.600,0.1,L1P0
124,2019-06-12 05:42:03.300,0.2,L0P1
125,2019-06-12 05:42:06.600,0.1,L1P0
126,2019-06-12 05:42:07.200,0.2,L0P1
127,2019-06-12 05:45:25.100,0.1,L0P1
128,2019-06-12 05:46:39.300,0.6,L0P1
129,2019-06-12 05:46:42.300,0.1,L0P1
130,2019-06-12 05:46:45.700,0.1,L1P0
131,2019-06-12 05:46:46.400,0.2,L0P1
132,2019-06-12 05:49:02.200,0.1,L1P0
133,2019-06-12 05:49:03.100,0.1,L1P0
134,2019-06-12 05:49:03.800,0.1,L1P0
135,2019-06-12 05:49:04.500,0.1,L0P1
136,2019-06-12 05:49:04.800,0.1,L1P0
137,2019-06-12 05:49:06.400,0.1,L0P1
138,2019-06-12 05:49:08.300,0.1,L1P0
139,2019-06-12 05:49:08.900,0.2,L0P1
140,2019-06-12 05:49:10.200,0.2,L0P1
141,2019-06-12 05:49:26.100,0.1,L1P0
142,2019-06-12 05:49:28.400,0.1,L1P0
143,2019-06-12 05:49:46.800,0.1,L0P1
144,2019-06-12 05:49:51.800,0.3,L0P1
145,2019-06-12 05:50:06.500,0.1,L1P0
146,2019-06-12 05:50:07.200,0.3,L0P1
147,2019-06-12 05:51:36.200,0.1,L1P0
148,2019-06-12 05:51:39.300,0.5,L0P1
149,2019-06-12 05:51:40.300,0.1,L0P1
150,2019-06-12 05:51:42.300,0.5,L0P1
151,2019-06-12 05:52:14.100,0.1,L0P1
152,2019-06-12 05:52:15.800,0.2,L0P1
153,2019-06-12 05:52:35.100,0.1,L0P1
154,2019-06-12 05:52:51.400,0.1,L1P0
155,2019-06-12 05:53:21.100,0.1,L0P1
156,2019-06-12 05:53:21.900,0.2,L0P1
157,2019-06-12 05:53:55.800,0.1,L1P0
158,2019-06-12 05:53:56.500,0.2,L0P1
159,2019-06-12 05:54:39.400,0.6,L0P1
160,2019-06-12 05:55:19.000,0.1,L1P0
161,2019-06-12 05:55:19.700,0.2,L0P1
162,2019-06-12 05:55:37.600,0.2,L0P1
163,2019-06-12 05:55:48.700,0.1,L1P0
164,2019-06-12 05:55:49.400,0.1,L0P1
165,2019-06-12 05:55:52.600,0.1,L0P1
166,2019-06-12 05:55:53.300,0.2,L0P1
167,2019-06-12 05:55:53.800,0.1,L1P0
168,2019-06-12 05:55:54.500,0.2,L0P1
169,2019-06-12 05:56:12.100,0.1,L0P1
170,2019-06-12 05:56:24.800,0.4,L0P1
171,2019-06-12 05:56:49.100,0.1,L1P0
172,2019-06-12 06:00:45.600,0.2,L0P1
173,2019-06-12 06:02:22.900,0.3,L0P1
174,2019-06-12 06:03:49.400,0.2,L0P1
175,2019-06-12 06:04:24.700,0.2,L0P1
176,2019-06-12 06:05:49.300,0.2,L0P1
177,2019-06-12 06:06:17.300,0.1,L0P1
178,2019-06-12 06:06:18.300,0.4,L0P1
179,2019-06-12 06:06:26.800,0.1,L1P0
180,2019-06-12 06:06:41.900,0.5,L0P1
181,2019-06-12 06:07:56.900,0.1,L1P0
182,2019-06-12 06:07:57.600,0.2,L0P1
183,2019-06-12 06:07:59.900,0.2,L0P1
184,2019-06-12 06:08:09.800,0.2,L0P1
185,2019-06-12 06:08:20.600,0.2,L1P0
186,2019-06-12 06:08:21.300,0.2,L0P1
187,2019-06-12 06:09:08.200,0.2,L0P1
188,2019-06-12 06:09:17.300,0.2,L0P1
189,2019-06-12 06:10:28.600,0.1,L1P0
190,2019-06-12 06:10:29.300,0.2,L0P1
191,2019-06-12 06:10:48.100,0.1,L1P0
192,2019-06-12 06:11:32.400,0.1,L0P1
193,2019-06-12 06:12:01.900,0.1,L0P1
194,2019-06-12 06:12:02.700,0.3,L0P1
195,2019-06-12 06:12:04.800,0.2,L0P1
196,2019-06-12 06:13:54.100,0.1,L0P1
197,2019-06-12 06:14:20.700,0.3,L0P1
198,2019-06-12 06:14:26.100,0.2,L0P1
199,2019-06-12 06:14:38.900,0.2,L0P1
200,2019-06-12 06:15:12.200,0.2,L0P1
201,2019-06-12 06:15:43.500,0.2,L0P1
202,2019-06-12 06:16:46.600,0.1,L0P1
203,2019-06-12 06:17:22.700,0.1,L0P1
204,2019-06-12 06:17:24.700,0.3,L0P1
205,2019-06-12 06:17:45.900,0.1,L1P0
206,2019-06-12 06:17:46.600,0.2,L0P1
207,2019-06-12 06:17:48.400,0.1,L1P0
208,2019-06-12 06:17:49.200,0.1,L0P1
209,2019-06-12 06:18:40.500,0.3,L0P1
210,2019-06-12 06:19:20.700,0.1,L0P1
211,2019-06-12 06:19:21.500,0.2,L0P1
212,2019-06-12 06:19:23.600,0.1,L0P1
213,2019-06-12 06:19:24.800,0.1,L1P0
214,2019-06-12 06:19:25.700,0.3,L0P1
215,2019-06-12 06:20:24.700,0.2,L0P1
216,2019-06-12 06:20:40.300,0.1,L1P0
217,2019-06-12 06:20:41.200,0.1,L0P1
218,2019-06-12 06:20:42.500,0.3,L0P1
219,2019-06-12 06:21:14.300,0.1,L1P0
220,2019-06-12 06:21:14.900,0.2,L0P1
221,2019-06-12 06:22:02.200,0.1,L0P1
222,2019-06-12 06:22:08.400,0.1,L1P0
223,2019-06-12 06:22:09.200,0.1,L0P1
224,2019-06-12 06:22:10.900,0.1,L1P0
225,2019-06-12 06:22:11.800,0.1,L0P1
226,2019-06-12 06:25:11.400,0.3,L0P1
227,2019-06-12 06:25:13.600,0.1,L1P0
228,2019-06-12 06:25:15.200,0.1,L0P1
229,2019-06-12 06:25:22.200,0.1,L0P1
230,2019-06-12 06:25:57.200,0.1,L1P0
231,2019-06-12 06:25:57.900,0.1,L0P1
232,2019-06-12 06:26:12.200,0.1,L1P0
233,2019-06-12 06:26:37.400,0.4,L0P1
234,2019-06-12 06:26:45.800,0.3,L0P1
235,2019-06-12 06:27:44.600,0.1,L0P1
236,2019-06-12 06:27:47.200,0.1,L0P1
237,2019-06-12 06:27:56.400,0.1,L1P0
238,2019-06-12 06:27:59.100,0.5,L0P1
239,2019-06-12 06:28:47.800,0.1,L1P0
240,2019-06-12 06:28:48.600,0.2,L0P1
241,2019-06-12 06:28:59.700,0.2,L1P0
242,2019-06-12 06:29:00.600,0.3,L0P1
243,2019-06-12 06:30:09.900,0.2,L0P1
244,2019-06-12 06:30:25.400,0.2,L0P1
245,2019-06-12 06:31:26.800,0.1,L1P0
246,2019-06-12 06:31:27.900,0.2,L0P1
247,2019-06-12 06:31:47.300,0.3,L0P1
248,2019-06-12 06:32:13.400,0.1,L0P1
249,2019-06-12 06:32:49.200,0.2,L0P1
250,2019-06-12 06:32:56.600,0.1,L1P0
251,2019-06-12 06:32:57.400,0.2,L0P1
252,2019-06-12 06:33:20.100,0.1,L0P1
253,2019-06-12 06:33:20.900,0.2,L0P1
254,2019-06-12 06:33:55.900,0.2,L1P0
255,2019-06-12 06:34:24.700,0.2,L0P1
256,2019-06-12 06:34:25.600,0.1,L1P0
257,2019-06-12 06:34:29.800,0.4,L0P1
258,2019-06-12 06:34:30.300,0.1,L1P0
259,2019-06-12 06:34:42.200,0.1,L0P1
260,2019-06-12 06:34:46.700,0.1,L0P1
261,2019-06-12 06:35:03.500,0.2,L0P1
262,2019-06-12 06:36:09.500,0.2,L0P1
263,2019-06-12 06:36:27.200,0.4,L0P1
264,2019-06-12 06:36:39.600,0.3,L0P1
265,2019-06-12 06:36:43.800,0.1,L1P0
266,2019-06-12 06:36:44.500,0.2,L0P1
267,2019-06-12 06:36:45.800,0.2,L0P1
268,2019-06-12 06:37:38.200,0.2,L0P1
269,2019-06-12 06:38:02.400,0.2,L0P1
270,2019-06-12 06:38:02.800,0.1,L1P0
271,2019-06-12 06:38:03.500,0.2,L0P1
272,2019-06-12 06:38:16.300,0.2,L0P1
273,2019-06-12 06:38:29.900,0.1,L1P0
274,2019-06-12 06:38:30.500,0.2,L0P1
275,2019-06-12 06:38:55.500,0.1,L1P0
276,2019-06-12 06:38:56.200,0.2,L0P1
277,2019-06-12 06:40:58.800,0.1,L1P0
278,2019-06-12 06:40:59.500,0.1,L0P1
279,2019-06-12 06:41:05.200,0.2,L0P1
280,2019-06-12 06:41:06.800,0.3,L0P1
281,2019-06-12 06:41:16.900,0.2,L0P1
282,2019-06-12 06:41:17.500,0.2,L1P0
283,2019-06-12 06:41:18.200,0.2,L0P1
284,2019-06-12 06:41:21.800,0.2,L0P1
285,2019-06-12 06:41:32.500,0.1,L1P0
286,2019-06-12 06:41:33.200,0.2,L0P1
287,2019-06-12 06:41:36.500,0.1,L1P0
288,2019-06-12 06:41:37.200,0.1,L0P1
289,2019-06-12 06:41:40.500,0.1,L1P0
290,2019-06-12 06:41:41.200,0.2,L0P1
291,2019-06-12 06:41:47.700,0.2,L0P1
292,2019-06-12 06:41:55.500,0.1,L1P0
293,2019-06-12 06:42:12.300,0.2,L0P1
294,2019-06-12 06:42:28.600,0.1,L0P1
295,2019-06-12 06:42:40.900,0.1,L1P0
296,2019-06-12 06:42:41.600,0.2,L0P1
297,2019-06-12 06:43:18.300,0.1,L1P0
298,2019-06-12 06:43:35.300,0.2,L0P1
299,2019-06-12 06:43:38.900,0.3,L0P1
