,Timestamp,Event Type,Parameter
0,2019-07-03 00:04:19.700,82,1334
1,2019-07-03 00:04:21.700,81,1334
2,2019-07-03 00:08:20.600,82,1334
3,2019-07-03 00:08:20.800,81,1334
4,2019-07-03 00:08:25.800,82,1334
5,2019-07-03 00:08:26.100,81,1334
6,2019-07-03 00:15:03.400,82,1334
9,2019-07-03 00:15:04.600,81,1334
10,2019-07-03 00:46:19.200,82,1334
11,2019-07-03 00:46:20.300,81,1334
12,2019-07-03 00:49:35.600,82,1334
13,2019-07-03 00:49:36.400,81,1334
14,2019-07-03 00:49:36.500,82,1334
15,2019-07-03 00:49:36.600,81,1334
16,2019-07-03 01:06:47.700,82,1334
19,2019-07-03 01:06:48.700,81,1334
20,2019-07-03 01:08:15.600,82,1334
21,2019-07-03 01:08:15.700,81,1334
22,2019-07-03 01:09:16.300,82,1334
25,2019-07-03 01:09:17.400,81,1334
26,2019-07-03 01:33:00.800,82,1334
27,2019-07-03 01:33:01.900,81,1334
28,2019-07-03 02:26:08.400,82,1334
29,2019-07-03 02:26:10.000,81,1334
30,2019-07-03 02:35:12.200,82,1334
33,2019-07-03 02:35:13.200,81,1334
34,2019-07-03 02:49:19.900,82,1334
37,2019-07-03 02:49:21.000,81,1334
38,2019-07-03 03:00:44.600,82,1334
39,2019-07-03 03:00:45.800,81,1334
40,2019-07-03 03:04:41.100,82,1334
41,2019-07-03 03:04:42.300,81,1334
42,2019-07-03 03:15:16.100,82,1334
43,2019-07-03 03:15:17.900,81,1334
44,2019-07-03 03:31:42.100,82,1334
45,2019-07-03 03:31:43.900,81,1334
46,2019-07-03 03:54:41.100,82,1334
47,2019-07-03 03:54:42.100,81,1334
48,2019-07-03 04:13:16.600,82,1334
49,2019-07-03 04:13:18.600,81,1334
50,2019-07-03 04:15:00.100,82,1334
51,2019-07-03 04:15:01.600,81,1334
52,2019-07-03 04:16:27.200,82,1334
55,2019-07-03 04:16:28.200,81,1334
56,2019-07-03 04:22:46.300,82,1334
57,2019-07-03 04:22:47.600,81,1334
58,2019-07-03 04:26:28.000,82,1334
59,2019-07-03 04:26:29.300,81,1334
60,2019-07-03 04:26:31.400,82,1334
61,2019-07-03 04:26:32.600,81,1334
62,2019-07-03 04:39:08.400,82,1334
63,2019-07-03 04:39:36.900,81,1334
64,2019-07-03 04:41:00.600,82,1334
65,2019-07-03 04:41:02.100,81,1334
66,2019-07-03 04:42:37.700,82,1334
67,2019-07-03 04:42:39.300,81,1334
68,2019-07-03 04:46:34.800,82,1334
69,2019-07-03 04:46:36.200,81,1334
70,2019-07-03 04:48:02.200,82,1334
71,2019-07-03 04:48:03.200,81,1334
72,2019-07-03 04:55:22.000,82,1334
73,2019-07-03 04:55:22.100,81,1334
74,2019-07-03 04:55:22.200,82,1334
77,2019-07-03 04:55:23.200,81,1334
78,2019-07-03 05:00:51.100,82,1334
79,2019-07-03 05:00:52.100,81,1334
80,2019-07-03 05:19:26.900,82,1334
83,2019-07-03 05:19:27.600,81,1334
84,2019-07-03 05:21:01.800,82,1334
85,2019-07-03 05:21:02.800,81,1334
86,2019-07-03 05:21:53.900,82,1334
89,2019-07-03 05:21:55.000,81,1334
90,2019-07-03 05:22:41.300,82,1334
91,2019-07-03 05:22:42.600,81,1334
92,2019-07-03 05:23:33.800,82,1334
93,2019-07-03 05:23:35.200,81,1334
94,2019-07-03 05:25:49.900,82,1334
97,2019-07-03 05:25:50.900,81,1334
98,2019-07-03 05:31:53.600,82,1334
99,2019-07-03 05:32:20.100,81,1334
100,2019-07-03 05:41:45.700,82,1334
101,2019-07-03 05:41:47.100,81,1334
102,2019-07-03 05:48:56.600,82,1334
103,2019-07-03 05:49:06.700,81,1334
104,2019-07-03 05:53:29.000,82,1334
105,2019-07-03 05:53:29.800,81,1334
106,2019-07-03 05:53:30.300,82,1334
107,2019-07-03 05:53:31.100,81,1334
108,2019-07-03 05:54:14.600,82,1334
111,2019-07-03 05:54:28.700,81,1334
112,2019-07-03 05:54:57.100,82,1334
113,2019-07-03 05:54:59.600,81,1334
114,2019-07-03 05:55:31.300,82,1334
115,2019-07-03 05:55:32.300,81,1334
116,2019-07-03 05:59:16.000,82,1334
117,2019-07-03 05:59:31.900,81,1334
118,2019-07-03 05:59:37.300,82,1334
121,2019-07-03 05:59:38.600,81,1334
122,2019-07-03 05:59:42.300,82,1334
125,2019-07-03 05:59:43.400,81,1334
126,2019-07-03 06:00:11.800,82,1334
127,2019-07-03 06:00:33.000,81,1334
128,2019-07-03 06:02:58.800,82,1334
129,2019-07-03 06:02:59.800,81,1334
130,2019-07-03 06:03:01.200,82,1334
131,2019-07-03 06:03:02.200,81,1334
132,2019-07-03 06:09:45.100,82,1334
133,2019-07-03 06:09:48.400,81,1334
134,2019-07-03 06:09:48.500,82,1334
135,2019-07-03 06:09:48.600,81,1334
136,2019-07-03 06:10:56.200,82,1334
137,2019-07-03 06:11:24.800,81,1334
138,2019-07-03 06:16:23.800,82,1334
139,2019-07-03 06:16:25.000,81,1334
140,2019-07-03 06:18:25.600,82,1334
141,2019-07-03 06:18:26.600,81,1334
142,2019-07-03 06:19:23.700,82,1334
145,2019-07-03 06:19:24.600,81,1334
146,2019-07-03 06:21:06.200,82,1334
149,2019-07-03 06:21:07.300,81,1334
150,2019-07-03 06:21:47.900,82,1334
155,2019-07-03 06:22:05.400,81,1334
156,2019-07-03 06:22:05.500,82,1334
157,2019-07-03 06:22:05.600,81,1334
158,2019-07-03 06:26:15.900,82,1334
161,2019-07-03 06:26:41.400,81,1334
162,2019-07-03 06:27:51.700,82,1334
163,2019-07-03 06:28:09.300,81,1334
164,2019-07-03 06:33:31.200,82,1334
165,2019-07-03 06:33:33.200,81,1334
166,2019-07-03 06:33:45.300,82,1334
169,2019-07-03 06:33:46.200,81,1334
170,2019-07-03 06:36:16.600,82,1334
173,2019-07-03 06:36:17.600,81,1334
174,2019-07-03 06:38:05.900,82,1334
177,2019-07-03 06:38:06.900,81,1334
178,2019-07-03 06:38:09.800,82,1334
179,2019-07-03 06:38:10.800,81,1334
180,2019-07-03 06:38:13.000,82,1334
181,2019-07-03 06:38:14.000,81,1334
182,2019-07-03 06:38:14.600,82,1334
185,2019-07-03 06:38:15.500,81,1334
