,Timestamp,Event Type,Parameter
158,2019-07-03 07:14:23.700,82,VC 17/36
159,2019-07-03 07:14:25.700,81,VC 17/36
160,2019-07-03 07:15:11.300,82,VC 17/36
161,2019-07-03 07:15:17.400,81,VC 17/36
162,2019-07-03 07:15:17.500,82,VC 17/36
163,2019-07-03 07:15:17.600,81,VC 17/36
164,2019-07-03 07:15:36.100,82,VC 17/36
165,2019-07-03 07:15:37.900,81,VC 17/36
166,2019-07-03 07:18:33.600,82,VC 17/36
167,2019-07-03 07:18:36.400,81,VC 17/36
168,2019-07-03 07:18:36.500,82,VC 17/36
169,2019-07-03 07:18:36.600,81,VC 17/36
170,2019-07-03 07:18:59.900,82,VC 17/36
171,2019-07-03 07:19:01.400,81,VC 17/36
172,2019-07-03 07:19:01.500,82,VC 17/36
173,2019-07-03 07:19:01.600,81,VC 17/36
174,2019-07-03 07:19:49.000,82,VC 17/36
175,2019-07-03 07:19:52.600,81,VC 17/36
176,2019-07-03 07:21:20.700,82,VC 17/36
179,2019-07-03 07:21:22.900,81,VC 17/36
180,2019-07-03 07:21:23.700,82,VC 17/36
181,2019-07-03 07:21:26.200,81,VC 17/36
182,2019-07-03 07:23:22.600,82,VC 17/36
183,2019-07-03 07:23:25.600,81,VC 17/36
184,2019-07-03 07:25:16.400,82,VC 17/36
187,2019-07-03 07:25:18.400,81,VC 17/36
188,2019-07-03 07:25:18.500,82,VC 17/36
189,2019-07-03 07:25:18.600,81,VC 17/36
190,2019-07-03 07:25:42.600,82,VC 17/36
191,2019-07-03 07:25:44.600,81,VC 17/36
192,2019-07-03 07:30:51.700,82,VC 17/36
193,2019-07-03 07:30:53.600,81,VC 17/36
194,2019-07-03 07:37:44.500,82,VC 17/36
195,2019-07-03 07:37:46.200,81,VC 17/36
196,2019-07-03 07:40:20.200,82,VC 17/36
197,2019-07-03 07:40:22.300,81,VC 17/36
198,2019-07-03 07:40:34.000,82,VC 17/36
201,2019-07-03 07:40:35.600,81,VC 17/36
202,2019-07-03 07:40:42.200,82,VC 17/36
205,2019-07-03 07:40:43.800,81,VC 17/36
206,2019-07-03 07:41:30.900,82,VC 17/36
209,2019-07-03 07:41:48.800,81,VC 17/36
210,2019-07-03 07:41:49.700,82,VC 17/36
211,2019-07-03 07:41:53.600,81,VC 17/36
212,2019-07-03 07:47:24.600,82,VC 17/36
213,2019-07-03 07:47:26.600,81,VC 17/36
214,2019-07-03 07:49:15.500,82,VC 17/36
215,2019-07-03 07:49:19.100,81,VC 17/36
216,2019-07-03 07:51:10.700,82,VC 17/36
217,2019-07-03 07:51:12.700,81,VC 17/36
218,2019-07-03 07:54:50.100,82,VC 17/36
219,2019-07-03 07:54:52.300,81,VC 17/36
220,2019-07-03 07:58:16.700,82,VC 17/36
221,2019-07-03 07:58:19.600,81,VC 17/36
222,2019-07-03 08:02:24.600,82,VC 17/36
223,2019-07-03 08:02:26.600,81,VC 17/36
224,2019-07-03 08:02:34.200,82,VC 17/36
225,2019-07-03 08:02:36.400,81,VC 17/36
226,2019-07-03 08:02:36.500,82,VC 17/36
227,2019-07-03 08:02:36.600,81,VC 17/36
228,2019-07-03 08:08:28.600,82,VC 17/36
229,2019-07-03 08:08:30.300,81,VC 17/36
230,2019-07-03 08:10:30.000,82,VC 17/36
231,2019-07-03 08:10:32.600,81,VC 17/36
232,2019-07-03 08:12:25.200,82,VC 17/36
233,2019-07-03 08:12:27.400,81,VC 17/36
234,2019-07-03 08:18:40.600,82,VC 17/36
237,2019-07-03 08:18:42.600,81,VC 17/36
238,2019-07-03 08:19:26.100,82,VC 17/36
239,2019-07-03 08:19:27.800,81,VC 17/36
240,2019-07-03 08:21:21.200,82,VC 17/36
241,2019-07-03 08:21:50.600,81,VC 17/36
242,2019-07-03 08:26:31.900,82,VC 17/36
245,2019-07-03 08:26:41.600,81,VC 17/36
246,2019-07-03 08:29:00.800,82,VC 17/36
247,2019-07-03 08:29:04.200,81,VC 17/36
248,2019-07-03 08:29:35.200,82,VC 17/36
251,2019-07-03 08:29:37.300,81,VC 17/36
252,2019-07-03 08:31:12.400,82,VC 17/36
253,2019-07-03 08:31:14.600,81,VC 17/36
254,2019-07-03 08:31:33.900,82,VC 17/36
255,2019-07-03 08:31:37.100,81,VC 17/36
256,2019-07-03 08:31:42.700,82,VC 17/36
257,2019-07-03 08:31:44.600,81,VC 17/36
258,2019-07-03 08:34:30.600,82,VC 17/36
259,2019-07-03 08:34:33.200,81,VC 17/36
260,2019-07-03 08:36:07.600,82,VC 17/36
261,2019-07-03 08:36:08.800,81,VC 17/36
262,2019-07-03 08:36:08.900,82,VC 17/36
263,2019-07-03 08:36:09.400,81,VC 17/36
264,2019-07-03 08:37:02.400,82,VC 17/36
267,2019-07-03 08:37:04.400,81,VC 17/36
268,2019-07-03 08:37:04.500,82,VC 17/36
269,2019-07-03 08:37:04.600,81,VC 17/36
270,2019-07-03 08:37:28.200,82,VC 17/36
271,2019-07-03 08:37:30.200,81,VC 17/36
272,2019-07-03 08:38:06.200,82,VC 17/36
273,2019-07-03 08:38:15.200,81,VC 17/36
274,2019-07-03 08:38:39.600,82,VC 17/36
275,2019-07-03 08:38:41.700,81,VC 17/36
276,2019-07-03 08:39:36.000,82,VC 17/36
277,2019-07-03 08:39:40.400,81,VC 17/36
278,2019-07-03 08:40:00.200,82,VC 17/36
279,2019-07-03 08:40:06.200,81,VC 17/36
280,2019-07-03 08:40:36.400,82,VC 17/36
281,2019-07-03 08:40:38.600,81,VC 17/36
282,2019-07-03 08:40:44.100,82,VC 17/36
283,2019-07-03 08:40:46.400,81,VC 17/36
284,2019-07-03 08:40:46.500,82,VC 17/36
285,2019-07-03 08:40:46.600,81,VC 17/36
286,2019-07-03 08:42:36.100,82,VC 17/36
287,2019-07-03 08:42:39.100,81,VC 17/36
288,2019-07-03 08:44:07.400,82,VC 17/36
289,2019-07-03 08:44:16.200,81,VC 17/36
290,2019-07-03 08:45:31.800,82,VC 17/36
291,2019-07-03 08:45:33.600,81,VC 17/36
292,2019-07-03 08:49:22.900,82,VC 17/36
293,2019-07-03 08:49:25.400,81,VC 17/36
294,2019-07-03 08:49:26.600,82,VC 17/36
297,2019-07-03 08:49:28.600,81,VC 17/36
298,2019-07-03 08:50:53.500,82,VC 17/36
299,2019-07-03 08:50:59.000,81,VC 17/36
300,2019-07-03 08:53:49.700,82,VC 17/36
301,2019-07-03 08:53:52.600,81,VC 17/36
302,2019-07-03 08:55:00.600,82,VC 17/36
305,2019-07-03 08:55:16.600,81,VC 17/36
306,2019-07-03 08:55:38.900,82,VC 17/36
307,2019-07-03 08:55:40.000,81,VC 17/36
308,2019-07-03 08:55:40.100,82,VC 17/36
309,2019-07-03 08:55:40.600,81,VC 17/36
310,2019-07-03 08:58:28.100,82,VC 17/36
311,2019-07-03 08:58:37.600,81,VC 17/36
312,2019-07-03 08:59:18.100,82,VC 17/36
317,2019-07-03 08:59:25.700,81,VC 17/36
318,2019-07-03 09:00:40.700,82,VC 17/36
321,2019-07-03 09:00:42.500,81,VC 17/36
322,2019-07-03 09:16:40.400,82,VC 17/36
323,2019-07-03 09:16:44.900,81,VC 17/36
324,2019-07-03 09:27:07.600,82,VC 17/36
325,2019-07-03 09:27:09.800,81,VC 17/36
326,2019-07-03 09:27:18.600,82,VC 17/36
327,2019-07-03 09:27:28.400,81,VC 17/36
328,2019-07-03 09:27:28.500,82,VC 17/36
329,2019-07-03 09:27:28.600,81,VC 17/36
330,2019-07-03 09:28:34.400,82,VC 17/36
331,2019-07-03 09:28:37.600,81,VC 17/36
332,2019-07-03 09:31:17.000,82,VC 17/36
335,2019-07-03 09:31:18.600,81,VC 17/36
336,2019-07-03 09:32:11.800,82,VC 17/36
341,2019-07-03 09:32:26.900,81,VC 17/36
342,2019-07-03 09:34:51.400,82,VC 17/36
343,2019-07-03 09:34:53.600,81,VC 17/36
344,2019-07-03 09:36:39.300,82,VC 17/36
345,2019-07-03 09:36:46.200,81,VC 17/36
346,2019-07-03 09:39:17.300,82,VC 17/36
347,2019-07-03 09:39:20.000,81,VC 17/36
348,2019-07-03 09:40:53.200,82,VC 17/36
349,2019-07-03 09:40:58.600,81,VC 17/36
350,2019-07-03 09:41:05.000,82,VC 17/36
351,2019-07-03 09:41:09.300,81,VC 17/36
352,2019-07-03 09:41:55.600,82,VC 17/36
353,2019-07-03 09:41:56.900,81,VC 17/36
354,2019-07-03 09:41:57.000,82,VC 17/36
355,2019-07-03 09:41:57.400,81,VC 17/36
356,2019-07-03 09:42:14.200,82,VC 17/36
357,2019-07-03 09:42:16.200,81,VC 17/36
358,2019-07-03 09:42:32.000,82,VC 17/36
