,Timestamp,Event Type,Parameter
0,2019-07-03 00:03:49.800,82,VC 14/35
3,2019-07-03 00:03:51.000,81,VC 14/35
4,2019-07-03 00:04:29.700,82,VC 14/35
5,2019-07-03 00:04:30.700,81,VC 14/35
6,2019-07-03 00:08:19.500,82,VC 14/35
7,2019-07-03 00:08:20.700,81,VC 14/35
8,2019-07-03 00:08:24.400,82,VC 14/35
9,2019-07-03 00:08:26.100,81,VC 14/35
10,2019-07-03 00:09:46.100,82,VC 14/35
13,2019-07-03 00:09:47.100,81,VC 14/35
14,2019-07-03 00:11:11.400,82,VC 14/35
19,2019-07-03 00:11:13.300,81,VC 14/35
20,2019-07-03 00:22:45.200,82,VC 14/35
21,2019-07-03 00:22:55.200,81,VC 14/35
22,2019-07-03 00:29:19.300,82,VC 14/35
23,2019-07-03 00:29:25.300,81,VC 14/35
24,2019-07-03 00:29:26.400,82,VC 14/35
25,2019-07-03 00:29:28.600,81,VC 14/35
26,2019-07-03 00:31:11.400,82,VC 14/35
29,2019-07-03 00:31:12.300,81,VC 14/35
30,2019-07-03 00:39:02.900,82,VC 14/35
33,2019-07-03 00:39:06.600,81,VC 14/35
34,2019-07-03 00:44:25.900,82,VC 14/35
39,2019-07-03 00:44:27.300,81,VC 14/35
40,2019-07-03 00:53:33.600,82,VC 14/35
41,2019-07-03 00:53:34.400,81,VC 14/35
42,2019-07-03 00:53:34.500,82,VC 14/35
43,2019-07-03 00:53:34.600,81,VC 14/35
44,2019-07-03 00:59:56.600,82,VC 14/35
47,2019-07-03 00:59:57.900,81,VC 14/35
48,2019-07-03 01:03:35.000,82,VC 14/35
49,2019-07-03 01:03:36.000,81,VC 14/35
50,2019-07-03 01:04:38.000,82,VC 14/35
51,2019-07-03 01:04:38.900,81,VC 14/35
52,2019-07-03 01:05:59.100,82,VC 14/35
55,2019-07-03 01:05:59.900,81,VC 14/35
56,2019-07-03 01:06:01.100,82,VC 14/35
59,2019-07-03 01:06:01.900,81,VC 14/35
60,2019-07-03 01:06:28.600,82,VC 14/35
63,2019-07-03 01:06:29.300,81,VC 14/35
64,2019-07-03 01:08:14.000,82,VC 14/35
67,2019-07-03 01:08:15.400,81,VC 14/35
68,2019-07-03 01:08:15.500,82,VC 14/35
69,2019-07-03 01:08:15.600,81,VC 14/35
70,2019-07-03 01:13:48.200,82,VC 14/35
71,2019-07-03 01:13:58.600,81,VC 14/35
72,2019-07-03 01:21:03.000,82,VC 14/35
75,2019-07-03 01:21:04.400,81,VC 14/35
76,2019-07-03 01:21:04.500,82,VC 14/35
77,2019-07-03 01:21:04.600,81,VC 14/35
78,2019-07-03 01:22:50.600,82,VC 14/35
81,2019-07-03 01:22:51.600,81,VC 14/35
82,2019-07-03 01:30:19.700,82,VC 14/35
85,2019-07-03 01:30:21.100,81,VC 14/35
86,2019-07-03 01:47:54.600,82,VC 14/35
87,2019-07-03 01:47:55.900,81,VC 14/35
88,2019-07-03 01:50:06.400,82,VC 14/35
91,2019-07-03 01:50:07.300,81,VC 14/35
92,2019-07-03 01:58:25.300,82,VC 14/35
95,2019-07-03 01:58:26.300,81,VC 14/35
96,2019-07-03 01:58:59.000,82,VC 14/35
99,2019-07-03 01:59:00.100,81,VC 14/35
100,2019-07-03 01:59:40.600,82,VC 14/35
103,2019-07-03 01:59:41.400,81,VC 14/35
104,2019-07-03 01:59:41.500,82,VC 14/35
105,2019-07-03 01:59:41.600,81,VC 14/35
106,2019-07-03 02:08:20.800,82,VC 14/35
107,2019-07-03 02:08:21.900,81,VC 14/35
108,2019-07-03 02:23:13.800,82,VC 14/35
113,2019-07-03 02:23:15.400,81,VC 14/35
114,2019-07-03 02:23:15.500,82,VC 14/35
115,2019-07-03 02:23:15.600,81,VC 14/35
116,2019-07-03 02:24:35.000,82,VC 14/35
117,2019-07-03 02:24:35.900,81,VC 14/35
118,2019-07-03 02:26:08.900,82,VC 14/35
119,2019-07-03 02:26:09.500,81,VC 14/35
120,2019-07-03 02:27:12.100,82,VC 14/35
123,2019-07-03 02:27:13.000,81,VC 14/35
124,2019-07-03 02:30:42.800,82,VC 14/35
125,2019-07-03 02:30:44.300,81,VC 14/35
126,2019-07-03 02:33:55.300,82,VC 14/35
127,2019-07-03 02:33:56.300,81,VC 14/35
128,2019-07-03 02:47:31.300,82,VC 14/35
129,2019-07-03 02:47:32.300,81,VC 14/35
130,2019-07-03 02:58:05.800,82,VC 14/35
131,2019-07-03 02:58:06.400,81,VC 14/35
132,2019-07-03 02:58:06.500,82,VC 14/35
133,2019-07-03 02:58:06.600,81,VC 14/35
134,2019-07-03 03:00:21.400,82,VC 14/35
139,2019-07-03 03:00:23.000,81,VC 14/35
140,2019-07-03 03:11:51.400,82,VC 14/35
145,2019-07-03 03:11:52.900,81,VC 14/35
146,2019-07-03 03:17:54.600,82,VC 14/35
149,2019-07-03 03:17:55.700,81,VC 14/35
150,2019-07-03 03:19:39.000,82,VC 14/35
153,2019-07-03 03:19:40.000,81,VC 14/35
154,2019-07-03 03:28:15.400,82,VC 14/35
157,2019-07-03 03:28:16.300,81,VC 14/35
158,2019-07-03 03:37:22.800,82,VC 14/35
159,2019-07-03 03:37:23.800,81,VC 14/35
160,2019-07-03 03:39:11.200,82,VC 14/35
161,2019-07-03 03:39:12.100,81,VC 14/35
162,2019-07-03 03:42:16.900,82,VC 14/35
165,2019-07-03 03:42:17.900,81,VC 14/35
166,2019-07-03 03:42:53.900,82,VC 14/35
167,2019-07-03 03:42:54.900,81,VC 14/35
168,2019-07-03 03:50:43.600,82,VC 14/35
169,2019-07-03 03:50:44.300,81,VC 14/35
170,2019-07-03 03:51:57.400,82,VC 14/35
173,2019-07-03 03:51:58.600,81,VC 14/35
174,2019-07-03 03:53:28.800,82,VC 14/35
177,2019-07-03 03:53:29.600,81,VC 14/35
178,2019-07-03 03:57:00.600,82,VC 14/35
179,2019-07-03 03:57:01.600,81,VC 14/35
180,2019-07-03 04:01:02.200,82,VC 14/35
181,2019-07-03 04:01:03.100,81,VC 14/35
182,2019-07-03 04:01:11.100,82,VC 14/35
183,2019-07-03 04:01:11.800,81,VC 14/35
184,2019-07-03 04:02:59.400,82,VC 14/35
185,2019-07-03 04:03:00.600,81,VC 14/35
186,2019-07-03 04:10:39.400,82,VC 14/35
189,2019-07-03 04:10:40.400,81,VC 14/35
190,2019-07-03 04:10:40.500,82,VC 14/35
191,2019-07-03 04:10:40.600,81,VC 14/35
192,2019-07-03 04:11:26.000,82,VC 14/35
193,2019-07-03 04:11:26.800,81,VC 14/35
194,2019-07-03 04:13:17.000,82,VC 14/35
197,2019-07-03 04:13:17.800,81,VC 14/35
198,2019-07-03 04:16:40.200,82,VC 14/35
199,2019-07-03 04:16:41.100,81,VC 14/35
200,2019-07-03 04:21:55.800,82,VC 14/35
201,2019-07-03 04:22:18.100,81,VC 14/35
202,2019-07-03 04:27:14.700,82,VC 14/35
203,2019-07-03 04:27:15.900,81,VC 14/35
204,2019-07-03 04:28:21.800,82,VC 14/35
205,2019-07-03 04:28:22.400,81,VC 14/35
206,2019-07-03 04:28:22.500,82,VC 14/35
207,2019-07-03 04:28:22.600,81,VC 14/35
208,2019-07-03 04:34:20.900,82,VC 14/35
209,2019-07-03 04:34:21.500,81,VC 14/35
210,2019-07-03 04:34:21.600,82,VC 14/35
211,2019-07-03 04:34:21.700,81,VC 14/35
212,2019-07-03 04:35:42.900,82,VC 14/35
213,2019-07-03 04:35:44.200,81,VC 14/35
214,2019-07-03 04:35:44.300,82,VC 14/35
215,2019-07-03 04:35:44.400,81,VC 14/35
216,2019-07-03 04:36:40.700,82,VC 14/35
221,2019-07-03 04:36:43.300,81,VC 14/35
222,2019-07-03 04:37:14.700,82,VC 14/35
223,2019-07-03 04:37:15.700,81,VC 14/35
224,2019-07-03 04:37:44.800,82,VC 14/35
227,2019-07-03 04:37:45.700,81,VC 14/35
228,2019-07-03 04:39:31.700,82,VC 14/35
229,2019-07-03 04:39:36.400,81,VC 14/35
230,2019-07-03 04:39:36.500,82,VC 14/35
231,2019-07-03 04:39:36.600,81,VC 14/35
232,2019-07-03 04:39:41.400,82,VC 14/35
235,2019-07-03 04:39:42.800,81,VC 14/35
236,2019-07-03 04:42:31.700,82,VC 14/35
237,2019-07-03 04:42:37.100,81,VC 14/35
238,2019-07-03 04:44:41.200,82,VC 14/35
241,2019-07-03 04:44:42.100,81,VC 14/35
242,2019-07-03 04:45:32.700,82,VC 14/35
245,2019-07-03 04:45:33.800,81,VC 14/35
246,2019-07-03 04:50:30.600,82,VC 14/35
247,2019-07-03 04:50:32.600,81,VC 14/35
248,2019-07-03 04:51:12.300,82,VC 14/35
253,2019-07-03 04:51:18.600,81,VC 14/35
254,2019-07-03 04:52:04.800,82,VC 14/35
255,2019-07-03 04:52:10.200,81,VC 14/35
256,2019-07-03 04:53:05.000,82,VC 14/35
257,2019-07-03 04:53:17.600,81,VC 14/35
258,2019-07-03 04:53:27.900,82,VC 14/35
261,2019-07-03 04:53:29.200,81,VC 14/35
262,2019-07-03 04:53:49.300,82,VC 14/35
263,2019-07-03 04:53:50.300,81,VC 14/35
264,2019-07-03 04:54:14.700,82,VC 14/35
267,2019-07-03 04:54:15.500,81,VC 14/35
268,2019-07-03 04:55:26.800,82,VC 14/35
269,2019-07-03 04:55:27.900,81,VC 14/35
270,2019-07-03 04:56:45.500,82,VC 14/35
273,2019-07-03 04:56:46.600,81,VC 14/35
274,2019-07-03 04:57:56.700,82,VC 14/35
277,2019-07-03 04:57:57.700,81,VC 14/35
278,2019-07-03 05:01:10.200,82,VC 14/35
281,2019-07-03 05:01:11.300,81,VC 14/35
282,2019-07-03 05:03:41.100,82,VC 14/35
283,2019-07-03 05:03:42.000,81,VC 14/35
284,2019-07-03 05:05:58.200,82,VC 14/35
285,2019-07-03 05:05:59.400,81,VC 14/35
286,2019-07-03 05:05:59.500,82,VC 14/35
287,2019-07-03 05:05:59.600,81,VC 14/35
288,2019-07-03 05:06:52.600,82,VC 14/35
293,2019-07-03 05:06:54.300,81,VC 14/35
294,2019-07-03 05:07:00.700,82,VC 14/35
297,2019-07-03 05:07:01.600,81,VC 14/35
298,2019-07-03 05:07:02.100,82,VC 14/35
301,2019-07-03 05:07:03.000,81,VC 14/35
302,2019-07-03 05:07:40.000,82,VC 14/35
305,2019-07-03 05:07:53.200,81,VC 14/35
306,2019-07-03 05:08:36.600,82,VC 14/35
309,2019-07-03 05:08:37.400,81,VC 14/35
310,2019-07-03 05:08:48.600,82,VC 14/35
311,2019-07-03 05:08:49.600,81,VC 14/35
312,2019-07-03 05:08:54.700,82,VC 14/35
313,2019-07-03 05:08:55.700,81,VC 14/35
314,2019-07-03 05:11:48.800,82,VC 14/35
315,2019-07-03 05:11:49.500,81,VC 14/35
316,2019-07-03 05:11:49.600,82,VC 14/35
317,2019-07-03 05:11:49.700,81,VC 14/35
318,2019-07-03 05:11:51.800,82,VC 14/35
321,2019-07-03 05:11:52.600,81,VC 14/35
322,2019-07-03 05:12:46.700,82,VC 14/35
323,2019-07-03 05:12:47.600,81,VC 14/35
324,2019-07-03 05:16:01.600,82,VC 14/35
327,2019-07-03 05:16:02.600,81,VC 14/35
328,2019-07-03 05:18:00.700,82,VC 14/35
329,2019-07-03 05:18:12.600,81,VC 14/35
330,2019-07-03 05:19:19.800,82,VC 14/35
333,2019-07-03 05:19:20.600,81,VC 14/35
334,2019-07-03 05:21:38.100,82,VC 14/35
339,2019-07-03 05:21:39.400,81,VC 14/35
340,2019-07-03 05:21:39.500,82,VC 14/35
341,2019-07-03 05:21:39.600,81,VC 14/35
342,2019-07-03 05:24:15.800,82,VC 14/35
345,2019-07-03 05:24:19.600,81,VC 14/35
346,2019-07-03 05:26:35.000,82,VC 14/35
347,2019-07-03 05:26:36.600,81,VC 14/35
348,2019-07-03 05:26:41.100,82,VC 14/35
351,2019-07-03 05:26:42.100,81,VC 14/35
352,2019-07-03 05:27:34.200,82,VC 14/35
355,2019-07-03 05:27:35.000,81,VC 14/35
356,2019-07-03 05:27:54.800,82,VC 14/35
359,2019-07-03 05:27:55.800,81,VC 14/35
360,2019-07-03 05:28:02.100,82,VC 14/35
362,2019-07-03 05:28:03.200,81,VC 14/35
365,2019-07-03 05:28:03.800,81,VC 14/35
366,2019-07-03 05:28:05.400,82,VC 14/35
369,2019-07-03 05:28:06.400,81,VC 14/35
370,2019-07-03 05:28:06.500,82,VC 14/35
371,2019-07-03 05:28:06.600,81,VC 14/35
372,2019-07-03 05:28:59.100,82,VC 14/35
373,2019-07-03 05:29:00.300,81,VC 14/35
374,2019-07-03 05:30:10.700,82,VC 14/35
377,2019-07-03 05:30:11.900,81,VC 14/35
378,2019-07-03 05:30:14.800,82,VC 14/35
381,2019-07-03 05:30:15.800,81,VC 14/35
382,2019-07-03 05:31:22.300,82,VC 14/35
383,2019-07-03 05:31:23.300,81,VC 14/35
384,2019-07-03 05:32:21.400,82,VC 14/35
387,2019-07-03 05:32:22.600,81,VC 14/35
388,2019-07-03 05:32:51.400,82,VC 14/35
389,2019-07-03 05:32:52.400,81,VC 14/35
390,2019-07-03 05:32:52.500,82,VC 14/35
391,2019-07-03 05:32:52.600,81,VC 14/35
392,2019-07-03 05:32:54.800,82,VC 14/35
395,2019-07-03 05:32:55.700,81,VC 14/35
396,2019-07-03 05:35:19.000,82,VC 14/35
405,2019-07-03 05:35:57.200,81,VC 14/35
406,2019-07-03 05:36:14.400,82,VC 14/35
407,2019-07-03 05:36:15.300,81,VC 14/35
408,2019-07-03 05:36:17.200,82,VC 14/35
411,2019-07-03 05:36:18.100,81,VC 14/35
412,2019-07-03 05:36:26.800,82,VC 14/35
415,2019-07-03 05:36:27.800,81,VC 14/35
416,2019-07-03 05:36:34.700,82,VC 14/35
419,2019-07-03 05:36:35.500,81,VC 14/35
420,2019-07-03 05:36:38.300,82,VC 14/35
423,2019-07-03 05:36:39.200,81,VC 14/35
424,2019-07-03 05:37:01.300,82,VC 14/35
427,2019-07-03 05:37:02.400,81,VC 14/35
428,2019-07-03 05:37:02.500,82,VC 14/35
429,2019-07-03 05:37:02.600,81,VC 14/35
430,2019-07-03 05:37:29.700,82,VC 14/35
435,2019-07-03 05:37:52.400,81,VC 14/35
436,2019-07-03 05:37:54.100,82,VC 14/35
437,2019-07-03 05:37:55.600,81,VC 14/35
438,2019-07-03 05:38:26.800,82,VC 14/35
439,2019-07-03 05:38:28.200,81,VC 14/35
440,2019-07-03 05:38:34.900,82,VC 14/35
441,2019-07-03 05:38:35.900,81,VC 14/35
442,2019-07-03 05:39:58.100,82,VC 14/35
443,2019-07-03 05:39:59.000,81,VC 14/35
444,2019-07-03 05:40:00.700,82,VC 14/35
447,2019-07-03 05:40:01.500,81,VC 14/35
448,2019-07-03 05:41:45.800,82,VC 14/35
451,2019-07-03 05:41:46.800,81,VC 14/35
452,2019-07-03 05:43:22.000,82,VC 14/35
453,2019-07-03 05:43:23.100,81,VC 14/35
454,2019-07-03 05:43:38.600,82,VC 14/35
457,2019-07-03 05:43:39.400,81,VC 14/35
458,2019-07-03 05:43:39.500,82,VC 14/35
459,2019-07-03 05:43:39.600,81,VC 14/35
460,2019-07-03 05:43:50.600,82,VC 14/35
463,2019-07-03 05:43:51.400,81,VC 14/35
464,2019-07-03 05:44:53.700,82,VC 14/35
465,2019-07-03 05:44:54.600,81,VC 14/35
466,2019-07-03 05:45:25.500,82,VC 14/35
467,2019-07-03 05:45:26.700,81,VC 14/35
468,2019-07-03 05:45:43.200,82,VC 14/35
469,2019-07-03 05:45:44.000,81,VC 14/35
470,2019-07-03 05:46:19.000,82,VC 14/35
471,2019-07-03 05:46:20.000,81,VC 14/35
472,2019-07-03 05:46:25.600,82,VC 14/35
473,2019-07-03 05:46:26.700,81,VC 14/35
474,2019-07-03 05:47:39.600,82,VC 14/35
477,2019-07-03 05:47:55.600,81,VC 14/35
478,2019-07-03 05:48:55.300,82,VC 14/35
481,2019-07-03 05:49:09.500,81,VC 14/35
482,2019-07-03 05:49:52.300,82,VC 14/35
485,2019-07-03 05:49:53.400,81,VC 14/35
486,2019-07-03 05:49:53.500,82,VC 14/35
487,2019-07-03 05:49:53.600,81,VC 14/35
488,2019-07-03 05:49:54.300,82,VC 14/35
491,2019-07-03 05:49:55.400,81,VC 14/35
492,2019-07-03 05:49:55.500,82,VC 14/35
493,2019-07-03 05:49:55.600,81,VC 14/35
494,2019-07-03 05:50:05.700,82,VC 14/35
495,2019-07-03 05:50:18.600,81,VC 14/35
496,2019-07-03 05:50:42.600,82,VC 14/35
497,2019-07-03 05:50:43.700,81,VC 14/35
498,2019-07-03 05:51:02.300,82,VC 14/35
499,2019-07-03 05:51:03.200,81,VC 14/35
500,2019-07-03 05:51:14.600,82,VC 14/35
505,2019-07-03 05:51:16.100,81,VC 14/35
506,2019-07-03 05:52:14.200,82,VC 14/35
507,2019-07-03 05:52:15.300,81,VC 14/35
508,2019-07-03 05:52:15.700,82,VC 14/35
511,2019-07-03 05:52:16.800,81,VC 14/35
512,2019-07-03 05:53:12.900,82,VC 14/35
515,2019-07-03 05:53:13.800,81,VC 14/35
516,2019-07-03 05:53:20.600,82,VC 14/35
517,2019-07-03 05:53:21.100,81,VC 14/35
518,2019-07-03 05:53:21.200,82,VC 14/35
519,2019-07-03 05:53:21.300,81,VC 14/35
520,2019-07-03 05:53:28.900,82,VC 14/35
521,2019-07-03 05:53:29.700,81,VC 14/35
522,2019-07-03 05:53:53.400,82,VC 14/35
525,2019-07-03 05:53:54.300,81,VC 14/35
526,2019-07-03 05:54:13.900,82,VC 14/35
529,2019-07-03 05:54:26.600,81,VC 14/35
530,2019-07-03 05:54:39.200,82,VC 14/35
531,2019-07-03 05:54:54.700,81,VC 14/35
532,2019-07-03 05:55:00.700,82,VC 14/35
535,2019-07-03 05:55:01.800,81,VC 14/35
536,2019-07-03 05:55:26.100,82,VC 14/35
537,2019-07-03 05:55:27.000,81,VC 14/35
538,2019-07-03 05:57:08.800,82,VC 14/35
539,2019-07-03 05:57:09.900,81,VC 14/35
540,2019-07-03 05:57:15.400,82,VC 14/35
541,2019-07-03 05:57:24.000,81,VC 14/35
542,2019-07-03 05:58:31.800,82,VC 14/35
545,2019-07-03 05:58:32.700,81,VC 14/35
546,2019-07-03 05:58:32.900,82,VC 14/35
547,2019-07-03 05:58:33.900,81,VC 14/35
548,2019-07-03 05:58:34.900,82,VC 14/35
549,2019-07-03 05:58:35.900,81,VC 14/35
550,2019-07-03 05:59:20.300,82,VC 14/35
551,2019-07-03 05:59:31.900,81,VC 14/35
552,2019-07-03 05:59:32.900,82,VC 14/35
555,2019-07-03 05:59:34.600,81,VC 14/35
556,2019-07-03 05:59:34.700,82,VC 14/35
559,2019-07-03 05:59:36.300,81,VC 14/35
560,2019-07-03 06:00:30.700,82,VC 14/35
561,2019-07-03 06:00:31.200,81,VC 14/35
562,2019-07-03 06:01:16.600,82,VC 14/35
563,2019-07-03 06:01:17.300,81,VC 14/35
564,2019-07-03 06:01:20.400,82,VC 14/35
567,2019-07-03 06:01:21.600,81,VC 14/35
568,2019-07-03 06:02:59.400,82,VC 14/35
571,2019-07-03 06:03:00.600,81,VC 14/35
572,2019-07-03 06:03:10.200,82,VC 14/35
575,2019-07-03 06:03:11.100,81,VC 14/35
576,2019-07-03 06:03:37.200,82,VC 14/35
579,2019-07-03 06:03:39.600,81,VC 14/35
580,2019-07-03 06:03:40.800,82,VC 14/35
581,2019-07-03 06:03:43.000,81,VC 14/35
582,2019-07-03 06:04:00.300,82,VC 14/35
585,2019-07-03 06:04:01.200,81,VC 14/35
586,2019-07-03 06:04:41.300,82,VC 14/35
591,2019-07-03 06:05:16.100,81,VC 14/35
592,2019-07-03 06:05:18.900,82,VC 14/35
593,2019-07-03 06:05:20.400,81,VC 14/35
594,2019-07-03 06:05:20.500,82,VC 14/35
595,2019-07-03 06:05:20.600,81,VC 14/35
596,2019-07-03 06:05:47.500,82,VC 14/35
599,2019-07-03 06:05:48.600,81,VC 14/35
600,2019-07-03 06:06:11.500,82,VC 14/35
603,2019-07-03 06:06:12.400,81,VC 14/35
604,2019-07-03 06:06:12.500,82,VC 14/35
605,2019-07-03 06:06:12.600,81,VC 14/35
606,2019-07-03 06:06:24.200,82,VC 14/35
607,2019-07-03 06:06:30.600,81,VC 14/35
608,2019-07-03 06:06:33.200,82,VC 14/35
611,2019-07-03 06:06:48.300,81,VC 14/35
612,2019-07-03 06:07:25.300,82,VC 14/35
613,2019-07-03 06:07:26.000,81,VC 14/35
614,2019-07-03 06:07:56.600,82,VC 14/35
617,2019-07-03 06:08:29.300,81,VC 14/35
618,2019-07-03 06:08:51.500,82,VC 14/35
621,2019-07-03 06:08:52.600,81,VC 14/35
622,2019-07-03 06:09:27.200,82,VC 14/35
625,2019-07-03 06:09:52.600,81,VC 14/35
626,2019-07-03 06:10:55.700,82,VC 14/35
633,2019-07-03 06:11:26.000,81,VC 14/35
634,2019-07-03 06:11:26.400,82,VC 14/35
637,2019-07-03 06:11:28.600,81,VC 14/35
638,2019-07-03 06:11:31.100,82,VC 14/35
645,2019-07-03 06:11:34.000,81,VC 14/35
646,2019-07-03 06:11:54.900,82,VC 14/35
647,2019-07-03 06:11:55.900,81,VC 14/35
648,2019-07-03 06:12:02.600,82,VC 14/35
649,2019-07-03 06:12:03.600,81,VC 14/35
650,2019-07-03 06:13:13.600,82,VC 14/35
651,2019-07-03 06:13:14.400,81,VC 14/35
652,2019-07-03 06:13:14.500,82,VC 14/35
653,2019-07-03 06:13:14.600,81,VC 14/35
654,2019-07-03 06:13:46.700,82,VC 14/35
657,2019-07-03 06:13:47.600,81,VC 14/35
658,2019-07-03 06:14:03.200,82,VC 14/35
659,2019-07-03 06:14:04.300,81,VC 14/35
660,2019-07-03 06:14:44.100,82,VC 14/35
661,2019-07-03 06:14:45.200,81,VC 14/35
662,2019-07-03 06:15:16.200,82,VC 14/35
665,2019-07-03 06:15:17.100,81,VC 14/35
666,2019-07-03 06:17:44.700,82,VC 14/35
669,2019-07-03 06:17:45.600,81,VC 14/35
670,2019-07-03 06:17:45.800,82,VC 14/35
671,2019-07-03 06:17:46.700,81,VC 14/35
672,2019-07-03 06:18:24.200,82,VC 14/35
677,2019-07-03 06:18:25.900,81,VC 14/35
678,2019-07-03 06:18:31.800,82,VC 14/35
681,2019-07-03 06:18:32.800,81,VC 14/35
682,2019-07-03 06:18:33.200,82,VC 14/35
685,2019-07-03 06:18:34.300,81,VC 14/35
686,2019-07-03 06:18:54.900,82,VC 14/35
689,2019-07-03 06:18:58.400,81,VC 14/35
690,2019-07-03 06:18:58.500,82,VC 14/35
691,2019-07-03 06:18:58.600,81,VC 14/35
692,2019-07-03 06:19:04.400,82,VC 14/35
693,2019-07-03 06:19:05.400,81,VC 14/35
694,2019-07-03 06:19:05.500,82,VC 14/35
695,2019-07-03 06:19:05.600,81,VC 14/35
696,2019-07-03 06:19:08.600,82,VC 14/35
697,2019-07-03 06:19:09.400,81,VC 14/35
698,2019-07-03 06:19:09.500,82,VC 14/35
699,2019-07-03 06:19:09.600,81,VC 14/35
700,2019-07-03 06:19:18.900,82,VC 14/35
703,2019-07-03 06:19:19.800,81,VC 14/35
704,2019-07-03 06:20:08.800,82,VC 14/35
705,2019-07-03 06:20:09.700,81,VC 14/35
