,Timestamp,Event Type,Parameter
0,2019-07-03 00:03:49.800,82,1435
3,2019-07-03 00:03:51.000,81,1435
4,2019-07-03 00:04:29.700,82,1435
5,2019-07-03 00:04:30.700,81,1435
6,2019-07-03 00:08:19.500,82,1435
7,2019-07-03 00:08:20.700,81,1435
8,2019-07-03 00:08:24.400,82,1435
9,2019-07-03 00:08:26.100,81,1435
10,2019-07-03 00:09:46.100,82,1435
13,2019-07-03 00:09:47.100,81,1435
14,2019-07-03 00:11:11.400,82,1435
17,2019-07-03 00:11:13.100,81,1435
18,2019-07-03 00:11:13.100,82,1435
19,2019-07-03 00:11:13.300,81,1435
20,2019-07-03 00:22:45.200,82,1435
21,2019-07-03 00:22:55.200,81,1435
22,2019-07-03 00:29:19.300,82,1435
23,2019-07-03 00:29:25.300,81,1435
24,2019-07-03 00:29:26.400,82,1435
25,2019-07-03 00:29:28.600,81,1435
26,2019-07-03 00:31:11.400,82,1435
29,2019-07-03 00:31:12.300,81,1435
30,2019-07-03 00:39:02.900,82,1435
33,2019-07-03 00:39:06.600,81,1435
34,2019-07-03 00:44:25.900,82,1435
39,2019-07-03 00:44:27.300,81,1435
40,2019-07-03 00:53:33.600,82,1435
41,2019-07-03 00:53:34.400,81,1435
42,2019-07-03 00:53:34.500,82,1435
43,2019-07-03 00:53:34.600,81,1435
44,2019-07-03 00:59:56.600,82,1435
47,2019-07-03 00:59:57.900,81,1435
48,2019-07-03 01:03:35.000,82,1435
49,2019-07-03 01:03:36.000,81,1435
50,2019-07-03 01:04:38.000,82,1435
51,2019-07-03 01:04:38.900,81,1435
52,2019-07-03 01:05:59.100,82,1435
55,2019-07-03 01:05:59.900,81,1435
56,2019-07-03 01:06:01.100,82,1435
59,2019-07-03 01:06:01.900,81,1435
60,2019-07-03 01:06:28.600,82,1435
63,2019-07-03 01:06:29.300,81,1435
64,2019-07-03 01:08:14.000,82,1435
67,2019-07-03 01:08:15.400,81,1435
68,2019-07-03 01:08:15.500,82,1435
69,2019-07-03 01:08:15.600,81,1435
70,2019-07-03 01:13:48.200,82,1435
71,2019-07-03 01:13:58.600,81,1435
72,2019-07-03 01:21:03.000,82,1435
75,2019-07-03 01:21:04.400,81,1435
76,2019-07-03 01:21:04.500,82,1435
77,2019-07-03 01:21:04.600,81,1435
78,2019-07-03 01:22:50.600,82,1435
81,2019-07-03 01:22:51.600,81,1435
82,2019-07-03 01:30:19.700,82,1435
85,2019-07-03 01:30:21.100,81,1435
86,2019-07-03 01:47:54.600,82,1435
87,2019-07-03 01:47:55.900,81,1435
88,2019-07-03 01:50:06.400,82,1435
91,2019-07-03 01:50:07.300,81,1435
92,2019-07-03 01:58:25.300,82,1435
95,2019-07-03 01:58:26.300,81,1435
96,2019-07-03 01:58:59.000,82,1435
