,Timestamp,Event Type,Parameter
0,2019-07-03 00:04:19.700,82,VC 13/34
1,2019-07-03 00:04:21.700,81,VC 13/34
2,2019-07-03 00:08:20.600,82,VC 13/34
3,2019-07-03 00:08:20.800,81,VC 13/34
4,2019-07-03 00:08:25.800,82,VC 13/34
5,2019-07-03 00:08:26.100,81,VC 13/34
6,2019-07-03 00:15:03.400,82,VC 13/34
9,2019-07-03 00:15:04.600,81,VC 13/34
10,2019-07-03 00:46:19.200,82,VC 13/34
11,2019-07-03 00:46:20.300,81,VC 13/34
12,2019-07-03 00:49:35.600,82,VC 13/34
13,2019-07-03 00:49:36.400,81,VC 13/34
14,2019-07-03 00:49:36.500,82,VC 13/34
15,2019-07-03 00:49:36.600,81,VC 13/34
16,2019-07-03 01:06:47.700,82,VC 13/34
19,2019-07-03 01:06:48.700,81,VC 13/34
20,2019-07-03 01:08:15.600,82,VC 13/34
21,2019-07-03 01:08:15.700,81,VC 13/34
22,2019-07-03 01:09:16.300,82,VC 13/34
25,2019-07-03 01:09:17.400,81,VC 13/34
26,2019-07-03 01:33:00.800,82,VC 13/34
27,2019-07-03 01:33:01.900,81,VC 13/34
28,2019-07-03 02:26:08.400,82,VC 13/34
29,2019-07-03 02:26:10.000,81,VC 13/34
30,2019-07-03 02:35:12.200,82,VC 13/34
33,2019-07-03 02:35:13.200,81,VC 13/34
34,2019-07-03 02:49:19.900,82,VC 13/34
37,2019-07-03 02:49:21.000,81,VC 13/34
38,2019-07-03 03:00:44.600,82,VC 13/34
39,2019-07-03 03:00:45.800,81,VC 13/34
40,2019-07-03 03:04:41.100,82,VC 13/34
41,2019-07-03 03:04:42.300,81,VC 13/34
42,2019-07-03 03:15:16.100,82,VC 13/34
43,2019-07-03 03:15:17.900,81,VC 13/34
44,2019-07-03 03:31:42.100,82,VC 13/34
45,2019-07-03 03:31:43.900,81,VC 13/34
46,2019-07-03 03:54:41.100,82,VC 13/34
47,2019-07-03 03:54:42.100,81,VC 13/34
48,2019-07-03 04:13:16.600,82,VC 13/34
49,2019-07-03 04:13:18.600,81,VC 13/34
50,2019-07-03 04:15:00.100,82,VC 13/34
51,2019-07-03 04:15:01.600,81,VC 13/34
52,2019-07-03 04:16:27.200,82,VC 13/34
55,2019-07-03 04:16:28.200,81,VC 13/34
56,2019-07-03 04:22:46.300,82,VC 13/34
57,2019-07-03 04:22:47.600,81,VC 13/34
58,2019-07-03 04:26:28.000,82,VC 13/34
59,2019-07-03 04:26:29.300,81,VC 13/34
60,2019-07-03 04:26:31.400,82,VC 13/34
61,2019-07-03 04:26:32.600,81,VC 13/34
62,2019-07-03 04:39:08.400,82,VC 13/34
63,2019-07-03 04:39:36.900,81,VC 13/34
64,2019-07-03 04:41:00.600,82,VC 13/34
65,2019-07-03 04:41:02.100,81,VC 13/34
66,2019-07-03 04:42:37.700,82,VC 13/34
67,2019-07-03 04:42:39.300,81,VC 13/34
68,2019-07-03 04:46:34.800,82,VC 13/34
69,2019-07-03 04:46:36.200,81,VC 13/34
70,2019-07-03 04:48:02.200,82,VC 13/34
71,2019-07-03 04:48:03.200,81,VC 13/34
72,2019-07-03 04:55:22.000,82,VC 13/34
73,2019-07-03 04:55:22.100,81,VC 13/34
74,2019-07-03 04:55:22.200,82,VC 13/34
77,2019-07-03 04:55:23.200,81,VC 13/34
78,2019-07-03 05:00:51.100,82,VC 13/34
79,2019-07-03 05:00:52.100,81,VC 13/34
80,2019-07-03 05:19:26.900,82,VC 13/34
83,2019-07-03 05:19:27.600,81,VC 13/34
84,2019-07-03 05:21:01.800,82,VC 13/34
85,2019-07-03 05:21:02.800,81,VC 13/34
86,2019-07-03 05:21:53.900,82,VC 13/34
89,2019-07-03 05:21:55.000,81,VC 13/34
90,2019-07-03 05:22:41.300,82,VC 13/34
91,2019-07-03 05:22:42.600,81,VC 13/34
92,2019-07-03 05:23:33.800,82,VC 13/34
93,2019-07-03 05:23:35.200,81,VC 13/34
94,2019-07-03 05:25:49.900,82,VC 13/34
97,2019-07-03 05:25:50.900,81,VC 13/34
98,2019-07-03 05:31:53.600,82,VC 13/34
99,2019-07-03 05:32:20.100,81,VC 13/34
100,2019-07-03 05:41:45.700,82,VC 13/34
101,2019-07-03 05:41:47.100,81,VC 13/34
